Fold,Modelo,AUC,Precision,Sensibilidad,Especificidad
1,LR Ridge (splines),0.6871558147068351,0.658008658008658,0.9455782312925171,0.15476190476190477
2,LR Ridge (splines),0.6477079796264856,0.645021645021645,0.8838709677419355,0.15789473684210525
3,LR Ridge (splines),0.6270964360587002,0.6883116883116883,0.8742138364779874,0.2777777777777778
4,LR Ridge (splines),0.6608434300741993,0.6982758620689655,0.893491124260355,0.1746031746031746
5,LR Ridge (splines),0.6816172859715175,0.670995670995671,0.9060402684563759,0.24390243902439024
6,LR Ridge (splines),0.6870726147834582,0.6623376623376623,0.8918918918918919,0.25301204819277107
7,LR Ridge (splines),0.6881551362683438,0.7142857142857143,0.9182389937106918,0.2638888888888889
8,LR Ridge (splines),0.7469967236985802,0.7445887445887446,0.9451219512195121,0.2537313432835821
9,LR Ridge (splines),0.6663776660308652,0.7142857142857143,0.9367088607594937,0.2328767123287671
10,LR Ridge (splines),0.707306338028169,0.7056277056277056,0.8875,0.29577464788732394
1,MLP seleccionadas,0.6341917719468739,0.6233766233766234,0.7482993197278912,0.40476190476190477
2,MLP seleccionadas,0.5045840407470289,0.5670995670995671,0.6838709677419355,0.32894736842105265
3,MLP seleccionadas,0.5958245981830887,0.6406926406926406,0.7484276729559748,0.4027777777777778
4,MLP seleccionadas,0.5544284775054007,0.5991379310344828,0.6923076923076923,0.3492063492063492
5,MLP seleccionadas,0.5671140939597316,0.5974025974025974,0.697986577181208,0.4146341463414634
6,MLP seleccionadas,0.6516606968414197,0.6190476190476191,0.7432432432432432,0.39759036144578314
7,MLP seleccionadas,0.5689203354297694,0.6277056277056277,0.7358490566037735,0.3888888888888889
8,MLP seleccionadas,0.5017291590826356,0.5887445887445888,0.7195121951219512,0.26865671641791045
9,MLP seleccionadas,0.5788971735737819,0.6277056277056277,0.7848101265822784,0.2876712328767123
10,MLP seleccionadas,0.5870598591549296,0.6233766233766234,0.70625,0.43661971830985913
